Game_Name,game_released,game_rating,game_platform,game_genres,game_stores,game_tags_name
Grand Theft Auto V,2013-09-17,4.47,"['PC', 'PlayStation 4', 'PlayStation 3', 'Xbox 360', 'Xbox One']","['Action', 'Shooter']","['PlayStation Store', 'Xbox Store', 'Xbox 360 Store', 'Steam']","['Full controller support', 'Steam Achievements', 'Atmospheric', 'Comedy', 'Co-op', 'Crime', 'First-Person', 'Funny', 'Great Soundtrack', 'Mature', 'Moddable', 'Multiplayer', 'Open World', 'RPG', 'Sandbox', 'Singleplayer', 'Third Person', 'Third-Person Shooter', 'cooperative']"
Portal 2,2011-04-19,4.61,"['PlayStation 3', 'PC', 'Xbox 360', 'Linux', 'macOS']","['Shooter', 'Puzzle']","['Xbox 360 Store', 'PlayStation Store', 'Steam']","['Captions available', 'Commentary available', 'Full controller support', 'Includes level editor', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Steam Workshop', 'Comedy', 'Co-op', 'Female Protagonist', 'First-Person', 'FPS', 'Funny', 'Local Co-Op', 'Multiplayer', 'Online Co-Op', 'Science', 'Sci-fi', 'Singleplayer', 'Space', 'Story Rich', 'cooperative', 'steam-trading-cards', 'stats']"
The Witcher 3: Wild Hunt,2015-05-18,4.68,"['PC', 'Xbox One', 'Nintendo Switch', 'PlayStation 4']",['RPG'],"['GOG', 'Xbox Store', 'Steam', 'PlayStation Store']","['Full controller support', 'Action RPG', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Choices Matter', 'Dark', 'Dark Fantasy', 'Fantasy', 'Great Soundtrack', 'Magic', 'Mature', 'Medieval', 'Multiple Endings', 'Nudity', 'Open World', 'RPG', 'Sandbox', 'Singleplayer', 'Story Rich', 'Third Person', 'achievements', 'controller support', 'overlay', 'cloud saves', 'role-playing', 'steam-trading-cards']"
The Elder Scrolls V: Skyrim,2011-11-11,4.41,"['PC', 'PlayStation 3', 'Xbox 360', 'Nintendo Switch']","['Action', 'RPG']","['Xbox 360 Store', 'Nintendo Store', 'Steam', 'PlayStation Store']","['Action RPG', 'Partial Controller Support', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Steam Workshop', 'Character Customization', 'Dark Fantasy', 'Dragons', 'Fantasy', 'First-Person', 'Great Soundtrack', 'Lore-Rich', 'Magic', 'Medieval', 'Moddable', 'Open World', 'RPG', 'Sandbox', 'Singleplayer', 'Story Rich', 'Third Person', 'role-playing', 'steam-trading-cards']"
Left 4 Dead 2,2009-11-17,4.11,"['PC', 'Xbox 360']","['Action', 'Shooter']","['Xbox 360 Store', 'Steam']","['Captions available', 'Commentary available', 'Full controller support', 'Includes Source SDK', 'Steam Achievements', 'Steam Cloud', 'Steam Workshop', 'Valve Anti-Cheat enabled', 'Co-op', 'First-Person', 'FPS', 'Gore', 'Horror', 'Local Co-Op', 'Moddable', 'Multiplayer', 'Online Co-Op', 'Post-apocalyptic', 'Replay Value', 'Singleplayer', 'Survival', 'Survival Horror', 'Tactical', 'Team-Based', 'Zombies', 'cooperative', 'steam-trading-cards', 'stats']"
Borderlands 2,2012-09-18,4.05,"['PC', 'PlayStation 3', 'Xbox 360', 'PlayStation 4', 'macOS', 'Xbox One']","['Action', 'Shooter', 'RPG']","['PlayStation Store', 'Xbox Store', 'App Store', 'Xbox 360 Store', 'Steam', 'Google Play']","['Full controller support', 'Action RPG', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Comedy', 'Co-op', 'Dark Humor', 'FPS', 'Funny', 'Futuristic', 'Loot', 'Memes', 'Multiplayer', 'Online Co-Op', 'Open World', 'RPG', 'Sci-fi', 'Singleplayer', 'Stylized', 'cooperative', 'steam-trading-cards']"
BioShock Infinite,2013-03-26,4.37,"['PC', 'Linux', 'PlayStation 3', 'PlayStation 4', 'Xbox 360', 'Xbox One']","['Action', 'Shooter']","['App Store', 'Xbox 360 Store', 'Steam', 'PlayStation Store']","['Full controller support', 'Alternate History', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Controller', 'Dystopian', 'Fantasy', 'First-Person', 'FPS', 'Gore', 'Great Soundtrack', 'Linear', 'Political', 'RPG', 'Sci-fi', 'Singleplayer', 'Steampunk', 'Story Rich', 'Time Travel', 'steam-trading-cards']"
Portal,2007-10-09,4.51,"['macOS', 'Android', 'PC', 'Linux', 'PlayStation 3', 'Xbox 360']","['Action', 'Adventure', 'Puzzle']","['Google Play', 'Steam']","['Captions available', 'Commentary available', 'Includes level editor', 'Includes Source SDK', 'Partial Controller Support', 'Steam Achievements', 'Atmospheric', 'Classic', 'Comedy', 'Dark Humor', 'Female Protagonist', 'First-Person', 'FPS', 'Funny', 'Great Soundtrack', 'Physics', 'Science', 'Sci-fi', 'Short', 'Singleplayer', 'Story Rich']"
Life is Strange,2015-01-29,4.11,"['iOS', 'Android', 'Xbox 360', 'Linux', 'Xbox One', 'PlayStation 4', 'PC', 'macOS', 'PlayStation 3']",['Adventure'],"['App Store', 'Xbox 360 Store', 'Google Play', 'Xbox Store', 'Steam', 'PlayStation Store']","['Full controller support', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Choices Matter', 'Episodic', 'Female Protagonist', 'Great Soundtrack', 'Memes', 'Multiple Endings', 'Mystery', 'Point & Click', 'Short', 'Singleplayer', 'Story Rich', 'Third Person', 'Time Manipulation', 'Time Travel', 'Walking Simulator', 'steam-trading-cards', 'european']"
Counter-Strike: Global Offensive,2012-08-21,3.59,"['PC', 'Xbox 360', 'PlayStation 3']","['Action', 'Shooter']","['Xbox 360 Store', 'Steam', 'PlayStation Store']","['Full controller support', 'In-App Purchases', 'Steam Achievements', 'Steam Workshop', 'Valve Anti-Cheat enabled', 'Competitive', 'Co-op', 'e-sports', 'Fast-Paced', 'First-Person', 'FPS', 'Military', 'Moddable', 'Multiplayer', 'Online Co-Op', 'PvP', 'Realistic', 'Tactical', 'Team-Based', 'Trading', 'War', 'cooperative', 'steam-trading-cards', 'stats']"
Tomb Raider (2013),2013-03-05,4.07,"['PC', 'PlayStation 3', 'Xbox 360', 'PlayStation 4', 'Xbox One', 'macOS']","['Action', 'Adventure']","['App Store', 'Google Play', 'PlayStation Store', 'Steam', 'Xbox 360 Store']","['Full controller support', 'Action-Adventure', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Cinematic', 'Classic', 'Dinosaurs', 'Exploration', 'Female Protagonist', 'Lara Croft', 'Multiplayer', 'Quick-Time Events', 'Retro', 'RPG', 'Singleplayer', 'Stealth', 'Story Rich', 'Third Person', 'Third-Person Shooter', 'steam-trading-cards']"
Limbo,2010-07-21,4.15,"['PC', 'iOS', 'Linux', 'macOS', 'Android', 'Xbox One', 'Xbox 360', 'PlayStation 3', 'PlayStation 4', 'Nintendo Switch', 'PS Vita']","['Action', 'Adventure', 'Indie', 'Puzzle', 'Platformer']","['Epic Games', 'Google Play', 'Nintendo Store', 'Xbox 360 Store', 'GOG', 'Steam', 'Xbox Store', 'PlayStation Store', 'App Store']","['2D', 'Full controller support', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Cinematic', 'Controller', 'Dark', 'Difficult', 'Horror', 'Minimalist', 'Physics', 'Puzzle-Platformer', 'Short', 'Side Scroller', 'Singleplayer', 'Surreal', 'controller support', 'overlay']"
Half-Life 2,2004-11-16,4.49,"['Android', 'Linux', 'Xbox', 'macOS', 'PC', 'Xbox 360']","['Action', 'Shooter']","['Google Play', 'Steam']","['Captions available', 'Includes Source SDK', 'Aliens', 'Partial Controller Support', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Classic', 'Dystopian', 'First-Person', 'FPS', 'Great Soundtrack', 'Horror', 'Moddable', 'Multiplayer', 'Physics', 'Sci-fi', 'Silent Protagonist', 'Singleplayer', 'Story Rich', 'Zombies', 'steam-trading-cards']"
BioShock,2007-08-21,4.38,"['PC', 'PlayStation 4', 'PlayStation 3', 'macOS', 'iOS', 'Xbox 360']","['Action', 'Shooter']","['App Store', 'PlayStation Store', 'Xbox 360 Store', 'Steam']","['Action RPG', 'Alternate History', 'Partial Controller Support', 'Atmospheric', 'Classic', 'Dark', 'Dystopian', 'First-Person', 'FPS', 'Great Soundtrack', 'Horror', 'Political', 'RPG', 'Sci-fi', 'Singleplayer', 'Steampunk', 'Story Rich', 'Underwater']"
Team Fortress 2,2007-10-10,3.68,"['PC', 'Linux', 'macOS']","['Action', 'Shooter']",['Steam'],"['Cross-Platform Multiplayer', 'Captions available', 'Commentary available', 'In-App Purchases', 'Includes level editor', 'Partial Controller Support', 'Steam Achievements', 'Steam Workshop', 'Valve Anti-Cheat enabled', 'Cartoon', 'Cartoony', 'Class-Based', 'Comedy', 'Competitive', 'Co-op', 'Crafting', 'First-Person', 'FPS', 'Free to Play', 'Funny', 'Moddable', 'Multiplayer', 'Online Co-Op', 'Robots', 'Tactical', 'Team-Based', 'Trading', 'cooperative', 'steam-trading-cards', 'stats']"
PAYDAY 2,2013-08-13,3.5,"['PC', 'Linux', 'Xbox One']","['Action', 'Shooter']","['Xbox 360 Store', 'Nintendo Store', 'Steam', 'PlayStation Store']","['Full controller support', 'In-App Purchases', 'Steam Achievements', 'Co-op', 'Crime', 'First-Person', 'FPS', 'Funny', 'Great Soundtrack', 'Gun Customization', 'Heist', 'Multiplayer', 'Online Co-Op', 'PvE', 'Singleplayer', 'Stealth', 'Tactical', 'Team-Based', 'cooperative', 'steam-trading-cards']"
Fallout 4,2015-11-09,3.74,"['PC', 'Xbox One', 'PlayStation 4']","['Action', 'RPG']","['Steam', 'Xbox Store', 'PlayStation Store']","['Full controller support', 'Action RPG', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Exploration', 'First-Person', 'FPS', 'Great Soundtrack', 'Open World', 'Post-apocalyptic', 'RPG', 'Sandbox', 'Sci-fi', 'Singleplayer', 'Story Rich', 'Survival', 'Third Person', 'Third-Person Shooter']"
DOOM (2016),2016-05-13,4.39,"['PC', 'Nintendo Switch', 'PlayStation 4', 'Xbox One']","['Action', 'Shooter']","['Steam', 'Xbox Store', 'Nintendo Store', 'PlayStation Store']","['Partial Controller Support', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Blood', 'Classic', 'Co-op', 'Demons', 'Difficult', 'Fast-Paced', 'First-Person', 'FPS', 'Gore', 'Great Soundtrack', 'Horror', 'Memes', 'Multiplayer', 'Remake', 'Sci-fi', 'Singleplayer', 'Zombies', 'cooperative', 'steam-trading-cards']"
Grand Theft Auto IV,2008-04-29,4.23,"['PC', 'PlayStation 3', 'Xbox 360']","['Action', 'Adventure']","['PlayStation Store', 'Xbox 360 Store', 'Steam']","['Partial Controller Support', 'Atmospheric', 'Bowling', 'Classic', 'Co-op', 'Crime', 'Dark Humor', 'Funny', 'Gore', 'Moddable', 'Multiplayer', 'Open World', 'Physics', 'Sandbox', 'Satire', 'Singleplayer', 'Third Person', 'Third-Person Shooter', 'cooperative']"
